Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Rapes,Data Time Period,Geographic Vintage,Data Source,Selected Location
State,Alabama,AL,1,01,1514,2023,,FBI UCR & DOJ,United States
State,Alaska,AK,2,02,868,2023,,FBI UCR & DOJ,United States
State,Arizona,AZ,4,04,3013,2023,,FBI UCR & DOJ,United States
State,Arkansas,AR,5,05,2219,2023,,FBI UCR & DOJ,United States
State,California,CA,6,06,14190,2023,,FBI UCR & DOJ,United States
State,Colorado,CO,8,08,3453,2023,,FBI UCR & DOJ,United States
State,Connecticut,CT,9,09,728,2023,,FBI UCR & DOJ,United States
State,Delaware,DE,10,10,194,2023,,FBI UCR & DOJ,United States
State,District of Columbia,DC,11,11,267,2023,,FBI UCR & DOJ,United States
State,Florida,FL,12,12,6755,2023,,FBI UCR & DOJ,United States
State,Georgia,GA,13,13,3584,2023,,FBI UCR & DOJ,United States
State,Hawaii,HI,15,15,407,2023,,FBI UCR & DOJ,United States
State,Idaho,ID,16,16,843,2023,,FBI UCR & DOJ,United States
State,Illinois,IL,17,17,5336,2023,,FBI UCR & DOJ,United States
State,Indiana,IN,18,18,2338,2023,,FBI UCR & DOJ,United States
State,Iowa,IA,19,19,1323,2023,,FBI UCR & DOJ,United States
State,Kansas,KS,20,20,1302,2023,,FBI UCR & DOJ,United States
State,Kentucky,KY,21,21,1515,2023,,FBI UCR & DOJ,United States
State,Louisiana,LA,22,22,2157,2023,,FBI UCR & DOJ,United States
State,Maine,ME,23,23,423,2023,,FBI UCR & DOJ,United States
State,Maryland,MD,24,24,1973,2023,,FBI UCR & DOJ,United States
State,Massachusetts,MA,25,25,1910,2023,,FBI UCR & DOJ,United States
State,Michigan,MI,26,26,5909,2023,,FBI UCR & DOJ,United States
State,Minnesota,MN,27,27,2043,2023,,FBI UCR & DOJ,United States
State,Mississippi,MS,28,28,958,2023,,FBI UCR & DOJ,United States
State,Missouri,MO,29,29,2877,2023,,FBI UCR & DOJ,United States
State,Montana,MT,30,30,616,2023,,FBI UCR & DOJ,United States
State,Nebraska,NE,31,31,957,2023,,FBI UCR & DOJ,United States
State,Nevada,NV,32,32,1582,2023,,FBI UCR & DOJ,United States
State,New Hampshire,NH,33,33,499,2023,,FBI UCR & DOJ,United States
State,New Jersey,NJ,34,34,1660,2023,,FBI UCR & DOJ,United States
State,New Mexico,NM,35,35,1114,2023,,FBI UCR & DOJ,United States
State,New York,NY,36,36,4900,2023,,FBI UCR & DOJ,United States
State,North Carolina,NC,37,37,3051,2023,,FBI UCR & DOJ,United States
State,North Dakota,ND,38,38,392,2023,,FBI UCR & DOJ,United States
State,Ohio,OH,39,39,5544,2023,,FBI UCR & DOJ,United States
State,Oklahoma,OK,40,40,2376,2023,,FBI UCR & DOJ,United States
State,Oregon,OR,41,41,1711,2023,,FBI UCR & DOJ,United States
State,Pennsylvania,PA,42,42,3256,2023,,FBI UCR & DOJ,United States
State,Rhode Island,RI,44,44,402,2023,,FBI UCR & DOJ,United States
State,South Carolina,SC,45,45,1958,2023,,FBI UCR & DOJ,United States
State,South Dakota,SD,46,46,462,2023,,FBI UCR & DOJ,United States
State,Tennessee,TN,47,47,2678,2023,,FBI UCR & DOJ,United States
State,Texas,TX,48,48,15097,2023,,FBI UCR & DOJ,United States
State,Utah,UT,49,49,1859,2023,,FBI UCR & DOJ,United States
State,Vermont,VT,50,50,198,2023,,FBI UCR & DOJ,United States
State,Virginia,VA,51,51,2595,2023,,FBI UCR & DOJ,United States
State,Washington,WA,53,53,2917,2023,,FBI UCR & DOJ,United States
State,West Virginia,WV,54,54,823,2023,,FBI UCR & DOJ,United States
State,Wisconsin,WI,55,55,2156,2023,,FBI UCR & DOJ,United States
State,Wyoming,WY,56,56,314,2023,,FBI UCR & DOJ,United States
State,American Samoa,AS,60,60,N/A,2023,,FBI UCR & DOJ,United States
State,Guam,GU,66,66,N/A,2023,,FBI UCR & DOJ,United States
State,Commonwealth of the Northern Mariana Islands,MP,69,69,N/A,2023,,FBI UCR & DOJ,United States
State,Puerto Rico,PR,72,72,220,2023,,FBI UCR & DOJ,United States
State,Virgin Islands of the United States,VI,78,78,N/A,2023,,FBI UCR & DOJ,United States
